,id,orig_c1,orig_c2,c1,c2,c3,formula_combined,chemical_formula,x,y,z,sphericity,shape,area/volume,max/min,space_group_core,space_group_shell,crystal_structure,coer_oe,sat_em_g,mr (emu/g),exc_bias_oe,ver_shift_emu_g,temperature_k,fc_field_t,h_range_max_koe,mass_ratio,exc_dir,ver_s_dir,common_spin,Effective anisotropy constant (J/m3),magnetic anisotropy constant (J/m3),magnetocrystalline anisotropy constant (J/m3),Anisotropy constant,Crystalline,MAE,Curie temperature (K),exchange constant (J/m) *10^-12,Electronegativity core,Demagnetization factors (Nd),interdomain coupling (alpha),mass_magnetic_susceptibility(emu/Oe*g)
11,12,LaFeO3,,La1 Fe1 O3,,,La1 Fe1 O3,['LaFeO3'],27,27,27,1.000000282,1,0.1111111111,1,62,0,19,1077,1.44117,0.7,635,0.142857,5,5,60,51,0,1,,,,,,,,,,,,,
12,13,LaFeO3,,La1 Fe1 O3,,,La1 Fe1 O3,['LaFeO3'],36,36,36,1.000000282,1,0.08333333333,1,62,0,19,894,0.65,0.0588,0,0.3,5,0,60,51,1,0,,,,,,,,,,,,,
13,14,LaFeO3,,La1 Fe1 O3,,,La1 Fe1 O3,['LaFeO3'],36,36,36,1.000000282,1,0.08333333333,1,62,0,19,985,0.65,0.0588,229,0.0088,5,0.5,60,51,0,1,,,,,,,,,,,,,
14,15,LaFeO3,,La1 Fe1 O3,,,La1 Fe1 O3,['LaFeO3'],36,36,36,1.000000282,1,0.08333333333,1,62,0,19,1016,0.65,0.0588,350,0.0176,5,1,60,51,0,1,,,,,,,,,,,,,
15,16,LaFeO3,,La1 Fe1 O3,,,La1 Fe1 O3,['LaFeO3'],36,36,36,1.000000282,1,0.08333333333,1,62,0,19,1074,0.66,0.0588,502,0.023,5,2,60,51,0,1,,,,,,,,,,,,,
16,17,LaFeO3,,La1 Fe1 O3,,,La1 Fe1 O3,['LaFeO3'],36,36,36,1.000000282,1,0.08333333333,1,62,0,19,1483,0.66,0.052,2157,0.084,5,5,60,51,0,1,,,,,,,,,,,,,
17,18,Ni,NiO,Ni1,Ni1 O1,,Ni2 O1,"['Ni', 'NiO']",30,30,30,1.000000282,1,0.1,1,225,225,7,634,26.6,21.5,130,0,8,1,2.5,73,0,1,,,,,,,,,,,,,
18,19,Ni,NiO,Ni1,Ni1 O1,,Ni2 O1,"['Ni', 'NiO']",30,30,30,1.000000282,1,0.1,1,225,225,7,641,26.4,21.5,137,0,8,1,2.5,73,0,1,,,,,,,,,,,,,
19,20,Ni,NiO,Ni1,Ni1 O1,,Ni2 O1,"['Ni', 'NiO']",30,30,30,1.000000282,1,0.1,1,225,225,7,379,15.2,8.9,38,0,8,1,2.5,73,0,1,,,,,,,,,,,,,
20,21,Ni,NiO,Ni1,Ni1 O1,,Ni2 O1,"['Ni', 'NiO']",30,30,30,1.000000282,1,0.1,1,225,225,7,547,14.7,10.7,73,0,8,1,2.5,73,0,1,,,,,,,,,,,,,
21,22,Ni,NiO,Ni1,Ni1 O1,,Ni2 O1,"['Ni', 'NiO']",30,30,30,1.000000282,1,0.1,1,225,225,7,534,16,13,81,0,8,1,2.5,73,0,1,,,,,,,,,,,,,
22,23,Ni,NiO,Ni1,Ni1 O1,,Ni2 O1,"['Ni', 'NiO']",30,30,30,1.000000282,1,0.1,1,225,225,7,756,16.5,12.8,109,0,8,1,2.5,73,0,1,,,,,,,,,,,,,
23,24,MgFe2O4,,Mg1 Fe2 O4,,,Mg1 Fe2 O4,['MgFe2O4'],12,12,12,0.6711392913,5,1.224744871,1,227,0,3,8.45,12.75,0.14,0,0,300,0,20,15,1,1,,,,,,,,,,,,,
24,25,MgFe2O4,,Mg1 Fe2 O4,,,Mg1 Fe2 O4,['MgFe2O4'],16,16,16,0.6711392913,5,0.9185586535,1,227,0,3,9.88,18.61,0.34,0,0,300,0,20,15,1,1,,,,,,,,,,,,,
25,26,MgFe2O4,,Mg1 Fe2 O4,,,Mg1 Fe2 O4,['MgFe2O4'],24,24,24,0.5166432673,2,0.28125,1,227,0,3,22.34,24.52,1.24,0,0,300,0,20,15,1,1,,,,,,,,,,,,,
26,27,MgFe2O4,,Mg1 Fe2 O4,,,Mg1 Fe2 O4,['MgFe2O4'],33,33,33,0.5166432673,2,0.2045454545,1,227,0,3,59.66,29.42,3.81,0,0,300,0,20,15,1,1,,,,,,,,,,,,,
27,28,CoFe2O4,,Fe2 Co1 O4,,,Fe2 Co1 O4,['CoFe2O4'],17.7,17.7,17.7,1.000000282,1,0.1694915254,1,227,0,3,1400,75,32,0,0,300,0.5,15,39,1,1,,,,,,,,,,,,,
28,29,BiFeO3,,Fe1 Bi1 O3,,,Fe1 Bi1 O3,['BiFeO3'],20.4,20.4,20.4,1.000000282,1,0.1470588235,1,161,0,24,0,0.12,0.03,0,0,300,0.5,15,20,1,1,,,,,,,,,,,,,
29,30,CoFe2O4,BiFeO3,Fe2 Co1 O4,Fe1 Bi1 O3,,Fe3 Co1 Bi1 O7,"['CoFe2O4', 'BiFeO3']",24.3,24.3,24.3,1.000000282,1,0.1234567901,1,227,161,13,902.2495,74.595,31.042,112.781,0,350,10,60,29,1,1,,,,,,,,,,,,,
30,31,CoFe2O4,BiFeO3,Fe2 Co1 O4,Fe1 Bi1 O3,,Fe3 Co1 Bi1 O7,"['CoFe2O4', 'BiFeO3']",24.3,24.3,24.3,1.000000282,1,0.1234567901,1,227,161,13,1316.317,79.167,39.222,226.736,0,300,10,60,29,1,1,,,,,,,,,,,,,
31,32,CoFe2O4,BiFeO3,Fe2 Co1 O4,Fe1 Bi1 O3,,Fe3 Co1 Bi1 O7,"['CoFe2O4', 'BiFeO3']",32.9,32.9,32.9,1.000000282,1,0.09118541033,1,227,161,13,1616.53,83.259,41.629,170,0,250,10,60,29,1,1,,,,,,,,,,,,,
32,33,CoFe2O4,BiFeO3,Fe2 Co1 O4,Fe1 Bi1 O3,,Fe3 Co1 Bi1 O7,"['CoFe2O4', 'BiFeO3']",24.3,24.3,24.3,1.000000282,1,0.1234567901,1,227,161,13,2594.2375,85.9,56,169.131,0,200,10,60,29,1,1,,,,,,,,,,,,,
33,34,CoFe2O4,BiFeO3,Fe2 Co1 O4,Fe1 Bi1 O3,,Fe3 Co1 Bi1 O7,"['CoFe2O4', 'BiFeO3']",24.3,24.3,24.3,1.000000282,1,0.1234567901,1,227,161,13,6052.7,87,67.858,112.78,0,100,10,60,29,1,1,,,,,,,,,,,,,
34,35,CoFe2O4,BiFeO3,Fe2 Co1 O4,Fe1 Bi1 O3,,Fe3 Co1 Bi1 O7,"['CoFe2O4', 'BiFeO3']",32.9,32.9,32.9,1.000000282,1,0.09118541033,1,227,161,13,7932.631,87.5,71.226,56.18,0,50,10,60,29,1,1,,,,,,,,,,,,,
35,36,CoFe2O4,BiFeO3,Fe2 Co1 O4,Fe1 Bi1 O3,,Fe3 Co1 Bi1 O7,"['CoFe2O4', 'BiFeO3']",24.3,24.3,24.3,1.000000282,1,0.1234567901,1,227,161,13,4116.89,87.349,63.046,90,0,150,10,60,29,1,1,,,,,,,,,,,,,
36,37,CoFe2O4,BiFeO3,Fe2 Co1 O4,Fe1 Bi1 O3,,Fe3 Co1 Bi1 O7,"['CoFe2O4', 'BiFeO3']",32.9,32.9,32.9,1.000000282,1,0.09118541033,1,227,161,13,8966,87.83,73.151,50,0,5,10,60,29,1,1,,,,,,,,,,,,,
37,38,Co,CoO,Co1,Co1 O1,,Co2 O1,"['Co', 'CoO']",30,30,30,1.000000282,1,0.1,1,194,225,16,538.42,18.372,4.3661,142.78,0,5,0.5,6,74,0,1,,,,,,,,,,,,,
38,39,Co,CoO,Co1,Co1 O1,,Co2 O1,"['Co', 'CoO']",30,30,30,1.000000282,1,0.1,1,194,225,16,434,18.372,4.3661,137.21,0,5,0.5,6,74,0,1,,,,,,,,,,,,,
39,40,Co,CoO,Co1,Co1 O1,,Co2 O1,"['Co', 'CoO']",30,30,30,1.000000282,1,0.1,1,194,225,16,280,18.372,4.3661,71,0,5,0.5,6,74,0,1,,,,,,,,,,,,,
40,41,Co,CoO,Co1,Co1 O1,,Co2 O1,"['Co', 'CoO']",30,30,30,1.000000282,1,0.1,1,194,225,16,532.96,18.372,4.3661,346.379,0,5,0.5,6,74,0,1,,,,,,,,,,,,,
41,42,FeRh,,Fe1 Rh1,,,Fe1 Rh1,['FeRh'],25,25,25,1.000000282,1,0.12,1,221,0,3,1661.3845,31.36,12.38458,952.57,0,2,1,0.1,30,0,1,,,,,,,,,,,,,
42,43,FeRh,,Fe1 Rh1,,,Fe1 Rh1,['FeRh'],25,25,25,1.000000282,1,0.12,1,221,0,3,1322.79,55.6912,11.45314,629.898,0,2,1,0.1,30,0,1,,,,,,,,,,,,,
43,44,FeRh,,Fe1 Rh1,,,Fe1 Rh1,['FeRh'],25,25,25,1.000000282,1,0.12,1,221,0,3,1070.862,20.04,15.9,519.698,0,2,1,0.1,30,0,1,,,,,,,,,,,,,
44,45,FeRh,,Fe1 Rh1,,,Fe1 Rh1,['FeRh'],25,25,25,1.000000282,1,0.12,1,221,0,3,881.8975,20.04,15.9,472.1585,0,2,1,0.1,30,0,1,,,,,,,,,,,,,
45,46,FeRh,,Fe1 Rh1,,,Fe1 Rh1,['FeRh'],200,200,200,1.000000282,1,0.015,1,221,0,3,806.3,31.04,5.9,278.3,0,2,5,0.1,30,0,1,,,,,,,,,,,,,
46,47,FeRh,,Fe1 Rh1,,,Fe1 Rh1,['FeRh'],200,200,200,1.000000282,1,0.015,1,221,0,3,697.695,31.04,5.9,185.144,0,2,5,0.1,30,0,1,,,,,,,,,,,,,
47,48,FeRh,,Fe1 Rh1,,,Fe1 Rh1,['FeRh'],200,200,200,1.000000282,1,0.015,1,221,0,3,636.065,31.04,5.9,108.065,0,2,5,0.1,30,0,1,,,,,,,,,,,,,
48,49,FeRh,,Fe1 Rh1,,,Fe1 Rh1,['FeRh'],200,200,200,1.000000282,1,0.015,1,221,0,3,604.83,31.04,5.9,76.83,0,2,5,0.1,30,0,1,,,,,,,,,,,,,
49,50,MnO2,,Mn1 O2,,,Mn1 O2,['MnO2'],20,1000,0,1.345018294,6,0.04197874325,0,87,0,21,145,6.9,0.022,440,0.07,5,1,80,56,0,1,,,,,,,,,,,,,
50,51,Ag,Fe3O4,Ag1,Fe3 O4,,Fe3 Ag1 O4,"['Ag', 'Fe3O4']",65,65,65,1.000000282,1,0.04615384615,1,225,227,7,1186,60,16.22,551.72,0.848,5,5,4,45,0,1,,,,,,,,,,,,,
51,52,Ag,Fe3O4,Ag1,Fe3 O4,,Fe3 Ag1 O4,"['Ag', 'Fe3O4']",65,65,65,1.000000282,1,0.04615384615,1,225,227,7,1186,60,16.22,551.72,0,5,1,4,45,0,1,,,,,,,,,,,,,
52,53,Fe,Fe2O3,Fe1,Fe2 O3,,Fe3 O3,"['Fe', 'Fe2O3']",11.65,11.65,11.65,1.000000282,1,0.2575107296,1,229,212,7,2095.77,384.57,247.96,96.767,111.36,5,5,4,68,0,1,,,,,,,,,,,,,
53,54,Fe,Fe2O3,Fe1,Fe2 O3,,Fe3 O3,"['Fe', 'Fe2O3']",11.65,11.65,11.65,1.000000282,1,0.2575107296,1,229,212,7,1812,326.6,155.91,1812,157.4,5,5,4,68,0,1,,,,,,,,,,,,,
54,55,Fe,Fe2O3,Fe1,Fe2 O3,,Fe3 O3,"['Fe', 'Fe2O3']",11.65,11.65,11.65,1.000000282,1,0.2575107296,1,229,212,7,7238,326.6,117.337,7238,117,5,5,4,68,0,1,,,,,,,,,,,,,
55,56,FeO,Fe3O4,Fe1 O1,Fe3 O4,,Fe4 O5,"['FeO', 'Fe3O4']",17.3,19.2,,1.000000282,1,0.1734104046,1,225,227,7,4791.6396,35,5.14,93.2306,0,300,0,30,65,0,1,,,,,,,,,,,,,
56,57,FeO,Fe3O4,Fe1 O1,Fe3 O4,,Fe4 O5,"['FeO', 'Fe3O4']",17.3,19.2,,1.000000282,1,0.1734104046,1,225,227,7,4705.4652,41,8.954,82.0306,0,300,0,30,65,0,1,,,,,,,,,,,,,
57,58,FeO,Fe3O4,Fe1 O1,Fe3 O4,,Fe4 O5,"['FeO', 'Fe3O4']",17.3,19.2,,1.000000282,1,0.1734104046,1,225,227,7,4699.9292,53,10.8,82.0306,0,300,0,30,65,0,1,,,,,,,,,,,,,
58,59,FeO,Fe3O4,Fe1 O1,Fe3 O4,,Fe4 O5,"['FeO', 'Fe3O4']",17.3,19.2,,1.000000282,1,0.1734104046,1,225,227,7,13,37.7,0.285,0,0,210,0,30,65,1,1,,,,,,,,,,,,,
59,60,FeO,Fe3O4,Fe1 O1,Fe3 O4,,Fe4 O5,"['FeO', 'Fe3O4']",17.3,19.2,,1.000000282,1,0.1734104046,1,225,227,7,13,37.7,0.294,2.5,0,210,5,30,65,0,1,,,,,,,,,,,,,
60,61,FeO,Fe3O4,Fe1 O1,Fe3 O4,,Fe4 O5,"['FeO', 'Fe3O4']",17.3,19.2,,1.000000282,1,0.1734104046,1,225,227,9,521,37,3.095,0,0,120,0,30,65,1,1,,,,,,,,,,,,,
61,62,FeO,Fe3O4,Fe1 O1,Fe3 O4,,Fe4 O5,"['FeO', 'Fe3O4']",17.3,19.2,,1.000000282,1,0.1734104046,1,225,227,9,560,37,2.8,719,3.99,120,5,30,65,0,1,,,,,,,,,,,,,
62,63,FeO,Fe3O4,Fe1 O1,Fe3 O4,,Fe4 O5,"['FeO', 'Fe3O4']",17.3,19.2,,1.000000282,1,0.1734104046,1,225,227,9,2202,32.9,5.149,0,0,2,0,30,65,1,1,,,,,,,,,,,,,
63,64,FeO,Fe3O4,Fe1 O1,Fe3 O4,,Fe4 O5,"['FeO', 'Fe3O4']",17.3,19.2,,1.000000282,1,0.1734104046,1,225,227,9,3195.5,33.6,8.3485,2878.5,8.398,2,5,30,65,0,1,,,,,,,,,,,,,
64,65,FeO,Fe3O4,Fe1 O1,Fe3 O4,,Fe4 O5,"['FeO', 'Fe3O4']",17.3,19.2,,1.000000282,1,0.1734104046,1,225,227,9,628.5,54.8,13.33,0,0,2,0,30,65,1,1,,,,,,,,,,,,,
65,66,FeO,Fe3O4,Fe1 O1,Fe3 O4,,Fe4 O5,"['FeO', 'Fe3O4']",17.3,19.2,,1.000000282,1,0.1734104046,1,225,227,9,767,54.8,22.313,329,9.188,2,5,30,65,0,1,,,,,,,,,,,,,
66,67,NiO,,Ni1 O1,,,Ni1 O1,['NiO'],10.97,34.4,,0.3724842176,6,0.6955780131,1,225,0,3,87.02,0.18,2.65,0,0,300,0,15,69,1,1,,,,,,,,,,,,,
67,68,Fe3O4,,Fe3 O4,,,Fe3 O4,['Fe3O4'],33,33,33,1.000000282,1,0.09090909091,1,227,0,3,22.41,70.264,1.65,0,0,300,0,15,62,1,1,,,,,,,,,,,,,
68,69,Fe3O4,NiO,Fe3 O4,Ni1 O1,,Fe3 Ni1 O5,"['Fe3O4', 'NiO']",52.02,52.02,52.02,1.000000282,1,0.05767012687,1,225,227,2,37.09,31.33,1.35,0,0,300,0,15,49,1,1,,,,,,,,,,,,,
69,70,NiO,Fe3O4,Ni1 O1,Fe3 O4,,Fe3 Ni1 O5,"['NiO', 'Fe3O4']",31.75,31.75,31.75,1.000000282,1,0.09448818898,1,227,225,2,100.29,40.03,2.16,0,0,300,0,15,49,1,1,,,,,,,,,,,,,
70,71,Fe3O4,NiO,Fe3 O4,Ni1 O1,,Fe3 Ni1 O5,"['Fe3O4', 'NiO']",52.02,52.02,52.02,1.000000282,1,0.05767012687,1,225,227,2,95.69,33,8.6,329.43,8.6,60,2.414,15,49,0,1,,,,,,,,,,,,,
71,72,NiO,Fe3O4,Ni1 O1,Fe3 O4,,Fe3 Ni1 O5,"['NiO', 'Fe3O4']",31.75,31.75,31.75,1.000000282,1,0.09448818898,1,227,225,2,145.18,44.89,8.16,145.18,8.16,60,1.214,15,49,1,0,,,,,,,,,,,,,
72,73,Bi2Fe4O9,BiFeO3,Fe4 Bi2 O9,Fe1 Bi1 O3,,Fe5 Bi3 O12,"['Bi2Fe4O9', 'BiFeO3']",19,19,19,1.000000282,1,0.1578947368,1,55,161,24,1300,1.3127,0.052,1600,0.053,2,5,50,26,0,1,,,,,,,,,,,,,
73,74,BiFeO3,Bi2Fe4O9,Fe1 Bi1 O3,Fe4 Bi2 O9,,Fe5 Bi3 O12,"['BiFeO3', 'Bi2Fe4O9']",13,13,13,1.000000282,1,0.2307692308,1,161,55,25,1225,43.278,0.046,1825,0.054,2,5,50,26,1,1,,,,,,,,,,,,,
74,75,BiFeO3,Bi2Fe4O9,Fe1 Bi1 O3,Fe4 Bi2 O9,,Fe5 Bi3 O12,"['BiFeO3', 'Bi2Fe4O9']",19,19,19,1.000000282,1,0.1578947368,1,161,55,25,900,30.9963,0.0365,1500,0.058,2,5,50,26,0,1,,,,,,,,,,,,,
75,76,BiFeO3,Bi2Fe4O9,Fe1 Bi1 O3,Fe4 Bi2 O9,,Fe5 Bi3 O12,"['BiFeO3', 'Bi2Fe4O9']",13,13,13,1.000000282,1,0.2307692308,1,161,55,25,750,43.278,0.049,1650,0.061,2,5,50,26,1,1,,,,,,,,,,,,,
76,77,TiO2,Fe2O3,Ti1 O2,Fe2 O3,,Ti1 Fe2 O5,"['TiO2', 'Fe2O3']",12.9,12.9,12.9,1.000000282,1,0.2325581395,1,136,213,22,449.38,52,17.6,9.41,0,2,0,40,22,1,1,,,,,,,,,,,,,
77,78,TiO2,Fe2O3,Ti1 O2,Fe2 O3,,Ti1 Fe2 O5,"['TiO2', 'Fe2O3']",12.9,12.9,12.9,1.000000282,1,0.2325581395,1,136,213,22,477.614,51.385,22.13,84.7,3.77,2,1,40,22,0,1,,,,,,,,,,,,,
78,79,TiO2,Fe2O3,Ti1 O2,Fe2 O3,,Ti1 Fe2 O5,"['TiO2', 'Fe2O3']",12.9,12.9,12.9,1.000000282,1,0.2325581395,1,136,213,22,471.34,52.18,21.98,71.36,3.3,2,2,60,22,0,1,,,,,,,,,,,,,
79,80,TiO2,Fe2O3,Ti1 O2,Fe2 O3,,Ti1 Fe2 O5,"['TiO2', 'Fe2O3']",12.9,12.9,12.9,1.000000282,1,0.2325581395,1,136,213,22,453.4,60.513,21.963,64.764,2.8,2,4,60,22,0,1,,,,,,,,,,,,,
80,81,TiO2,Fe2O3,Ti1 O2,Fe2 O3,,Ti1 Fe2 O5,"['TiO2', 'Fe2O3']",12.9,12.9,12.9,1.000000282,1,0.2325581395,1,136,213,22,415,50.3,17.09,5,0,10,0,40,22,1,1,,,,,,,,,,,,,
81,82,TiO2,Fe2O3,Ti1 O2,Fe2 O3,,Ti1 Fe2 O5,"['TiO2', 'Fe2O3']",12.9,12.9,12.9,1.000000282,1,0.2325581395,1,136,213,22,429,50.275,19.818,49.725,2.546,10,1,40,22,0,1,,,,,,,,,,,,,
82,83,TiO2,Fe2O3,Ti1 O2,Fe2 O3,,Ti1 Fe2 O5,"['TiO2', 'Fe2O3']",12.9,12.9,12.9,1.000000282,1,0.2325581395,1,136,213,22,421.24,48.91,19.4,41.96,2.4,10,3,60,22,0,1,,,,,,,,,,,,,
83,84,TiO2,Fe2O3,Ti1 O2,Fe2 O3,,Ti1 Fe2 O5,"['TiO2', 'Fe2O3']",12.9,12.9,12.9,1.000000282,1,0.2325581395,1,136,213,22,55.122,51,3.195,2.42,0,100,0,40,22,1,1,,,,,,,,,,,,,
84,85,TiO2,Fe2O3,Ti1 O2,Fe2 O3,,Ti1 Fe2 O5,"['TiO2', 'Fe2O3']",12.9,12.9,12.9,1.000000282,1,0.2325581395,1,136,213,22,53.78,48.85,3.345,2.42,0.1,100,1,40,22,1,0,,,,,,,,,,,,,
85,86,TiO2,Fe2O3,Ti1 O2,Fe2 O3,,Ti1 Fe2 O5,"['TiO2', 'Fe2O3']",12.9,12.9,12.9,1.000000282,1,0.2325581395,1,136,213,22,53,50.6,3.375,2.42,0.66,100,2,60,22,1,0,,,,,,,,,,,,,
86,87,TiO2,Fe2O3,Ti1 O2,Fe2 O3,,Ti1 Fe2 O5,"['TiO2', 'Fe2O3']",12.9,12.9,12.9,1.000000282,1,0.2325581395,1,136,213,22,20.115,52.5,1.442,1.355,0,300,0,40,22,1,1,,,,,,,,,,,,,
87,88,TiO2,Fe2O3,Ti1 O2,Fe2 O3,,Ti1 Fe2 O5,"['TiO2', 'Fe2O3']",12.9,12.9,12.9,1.000000282,1,0.2325581395,1,136,213,22,19.88,46.11,1.438,0.6585,0.139,300,1,40,22,0,0,,,,,,,,,,,,,
88,89,TiO2,Fe2O3,Ti1 O2,Fe2 O3,,Ti1 Fe2 O5,"['TiO2', 'Fe2O3']",12.9,12.9,12.9,1.000000282,1,0.2325581395,1,136,213,22,20.814,45.78,1.5775,0.659,0.0695,300,2,60,22,0,0,,,,,,,,,,,,,
89,90,Fe3O4,,Fe3 O4,,,Fe3 O4,['Fe3O4'],15,15,15,1.000000282,1,0.2,1,227,0,1,624.1,57,33.04,15,3.8,5,3,20,62,0,1,,,,,,,,,,,,,
90,91,Co0.4Fe2.6O4,,Fe13 Co2 O20,,,Fe13 Co2 O20,['Co0.4Fe2.6O4'],16.8,16.8,16.8,1.000000282,1,0.1785714286,1,227,0,1,8336,55,43.5,52,2.15,5,3,20,55,0,1,,,,,,,,,,,,,
91,92,Co0.7Fe2.3O4,,Fe23 Co7 O40,,,Fe23 Co7 O40,['Co0.7Fe2.3O4'],18.6,18.6,18.6,1.000000282,1,0.1612903226,1,227,0,1,10760,51,36.47,70,0,5,3,20,50,0,1,,,,,,,,,,,,,
92,93,CoFe2O4,,Fe2 Co1 O4,,,Fe2 Co1 O4,['CoFe2O4'],20,20,20,1.000000282,1,0.15,1,227,0,1,14563,45,32.22,20,2.48,5,3,20,39,0,1,,,,,,,,,,,,,
93,94,BiFeO3,,Fe1 Bi1 O3,,,Fe1 Bi1 O3,['BiFeO3'],18,18,18,1.000000282,1,0.1666666667,1,161,0,24,1219.58,1.259,0.0485,1219.58,0.0485,10,6.5,50,20,0,1,,,,,,,,,,,,,
94,95,BiFeO3,,Fe1 Bi1 O3,,,Fe1 Bi1 O3,['BiFeO3'],18,18,18,1.000000282,1,0.1666666667,1,161,0,24,429.82,0.8455,0.0105,1182,0.031,130,6.5,50,20,0,1,,,,,,,,,,,,,
95,96,BiFeO3,,Fe1 Bi1 O3,,,Fe1 Bi1 O3,['BiFeO3'],18,18,18,1.000000282,1,0.1666666667,1,161,0,24,1500,0.646,0.025,342.15,0.006,300,6.5,50,20,1,1,,,,,,,,,,,,,
96,97,BiFeO3,,Fe1 Bi1 O3,,,Fe1 Bi1 O3,['BiFeO3'],18,18,18,1.000000282,1,0.1666666667,1,161,0,24,1361.93,1.24,0.057,0,0,10,0,50,20,1,1,,,,,,,,,,,,,
97,98,BiFeO3,,Fe1 Bi1 O3,,,Fe1 Bi1 O3,['BiFeO3'],18,18,18,1.000000282,1,0.1666666667,1,161,0,24,901.82,0.84,0.025,0,0,130,0,50,20,1,1,,,,,,,,,,,,,
98,99,BiFeO3,,Fe1 Bi1 O3,,,Fe1 Bi1 O3,['BiFeO3'],18,18,18,1.000000282,1,0.1666666667,1,161,0,24,2309.79,0.672,0.039,0,0,300,0,50,20,1,1,,,,,,,,,,,,,
99,100,Fe0.7Co0.3,,Fe7 Co3,,,Fe7 Co3,['Fe0.7Co0.3'],45,45,45,0.805995977,3,0.1333333333,1,229,0,3,3999.6,63,34.3,0.1,0,10,1.4,30,58,0,1,,,,,,,,,,,,,
100,101,Fe0.7Co0.3,,Fe7 Co3,,,Fe7 Co3,['Fe0.7Co0.3'],48,48,48,0.805995977,3,0.125,1,229,0,3,1299.65,59.95,28,399.95,0,150,1.4,30,58,1,1,,,,,,,,,,,,,
101,102,Fe0.7Co0.3,,Fe7 Co3,,,Fe7 Co3,['Fe0.7Co0.3'],51,51,51,0.805995977,3,0.1176470588,1,229,0,3,849.7,55.4,22.25,49.9,0,300,1.2,30,58,1,1,,,,,,,,,,,,,
