Area/volume,Max/min(size),org_coating_HAcceptors,org_coating_LogP,common_spin,Effective anisotropy constant (J/m3),magnetic anisotropy constant (J/m3),magnetocrystalline anisotropy constant (J/m3),Anisotropy constant ,Crystalline,MAE,Curie temperature (K),Spehricity,exchange constant (J/m) *10^-12,Electronegativity core,Space group,Demagnetization factors (Nd),Saturation magnetization (emu/g),Coercivity (Oe),Remanence magnetization (emu/g),interdomain coupling (alpha),mass_magnetic_susceptibility(emu/Oe*g),link,Core_composition_formula,length,width,depth
0.274,0.693,0.693,1.438,0.693,10.306,12.315,13.638,11.687,0.000,14.798,6.621,0.693,,1.322,5.429,0.288,4.174,4.555,2.209,0.405,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.3Fe0.7Fe2O4,19.000,19.000,19.000
0.274,0.693,0.693,1.438,0.693,10.306,12.315,13.638,11.687,0.000,14.798,6.621,0.693,,1.322,5.429,0.288,4.174,4.555,1.961,0.405,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.3Fe0.7Fe2O4,19.000,19.000,19.000
0.288,0.693,0.000,0.000,0.693,12.206,8.102,13.617,11.687,0.000,8.851,6.486,0.693,0.157,1.322,5.429,0.288,4.443,2.451,4.263,2.313,0.015,https://doi.org/10.1063/1.5006515,Co0.3Fe0.7Fe2O4,9.000,9.000,9.000
0.288,0.693,0.000,0.000,0.693,12.206,8.102,13.617,11.687,0.000,8.851,6.486,0.693,0.157,1.322,5.429,0.288,4.443,2.451,4.263,2.313,0.015,https://doi.org/10.1063/1.5006515,Co0.3Fe0.7Fe2O4,9.000,9.000,9.000
0.288,0.693,0.000,0.000,0.693,12.206,8.102,14.346,11.687,0.000,8.851,6.486,0.693,0.157,1.322,5.429,0.288,4.443,2.451,4.263,2.313,0.015,https://doi.org/10.1063/1.5006515,Co0.3Fe0.7Fe2O4,9.000,9.000,9.000
0.262,0.693,0.693,1.438,0.693,12.677,8.102,15.479,12.525,0.693,8.851,6.439,0.693,0.157,1.323,5.429,0.288,4.314,2.680,3.916,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.262,0.693,0.693,1.438,0.693,12.677,8.102,15.479,12.525,0.693,8.851,6.439,0.693,0.157,1.323,5.429,0.288,3.714,1.266,3.434,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.262,0.693,0.693,1.438,0.693,12.677,8.102,15.479,12.525,0.693,8.851,6.439,0.693,0.157,1.323,5.429,0.288,4.111,1.266,3.434,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.262,0.693,0.693,1.438,0.693,12.677,8.102,15.479,12.525,0.693,8.851,6.439,0.693,0.157,1.323,5.429,0.288,4.111,1.266,3.434,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.262,0.693,0.693,1.438,0.693,12.677,8.102,15.479,12.525,0.693,8.851,6.439,0.693,0.157,1.323,5.429,0.288,4.111,1.266,3.434,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.262,0.693,0.693,1.438,0.693,12.677,8.102,15.479,12.525,0.693,8.851,6.439,0.693,0.157,1.323,5.429,0.288,4.111,1.266,3.434,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.262,0.693,0.693,1.438,0.693,12.677,8.102,15.479,12.525,0.693,8.851,6.439,0.693,0.157,1.323,5.429,0.288,4.111,1.266,3.434,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.262,0.693,0.693,1.438,0.693,12.677,8.102,15.479,12.525,0.693,8.851,6.439,0.693,0.157,1.323,5.429,0.288,4.111,1.266,3.434,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.262,0.693,0.693,1.438,0.693,12.677,8.102,15.479,12.525,0.693,8.851,6.439,0.693,0.157,1.323,5.429,0.288,4.111,1.266,3.434,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.262,0.693,0.693,1.438,0.693,12.677,8.102,15.479,12.525,0.693,8.851,6.439,0.693,0.157,1.323,5.429,0.288,4.111,1.266,3.434,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.262,0.693,0.693,1.438,0.693,12.677,8.102,15.479,12.525,0.693,8.851,6.439,0.693,0.157,1.323,5.429,0.288,4.111,1.266,3.434,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.262,0.693,0.693,1.438,0.693,12.677,8.102,15.479,12.525,0.693,8.851,6.439,0.693,0.157,1.323,5.429,0.288,4.111,1.266,3.434,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.262,0.693,0.693,1.438,0.693,12.677,12.315,15.479,12.525,0.693,14.798,6.282,0.693,0.157,1.323,5.429,0.288,4.111,1.266,3.434,0.145,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.223,0.693,0.000,0.000,0.693,12.206,12.315,14.346,12.525,0.000,14.511,6.439,0.693,0.157,1.323,5.429,0.288,4.357,2.815,4.220,2.313,0.015,https://doi.org/10.1063/1.5006515,Co0.5Fe0.5Fe2O4,12.000,12.000,12.000
0.223,0.693,0.000,0.000,0.693,12.206,8.102,14.346,10.127,0.000,8.851,6.486,0.693,0.157,1.323,5.429,0.288,4.357,2.815,4.220,2.313,0.015,https://doi.org/10.1063/1.5006515,Co0.5Fe0.5Fe2O4,12.000,12.000,12.000
0.223,0.693,0.000,0.000,0.693,12.206,8.102,14.346,10.127,0.000,8.851,6.486,0.693,0.157,1.323,5.429,0.288,4.357,2.815,4.220,2.313,0.015,https://doi.org/10.1063/1.5006515,Co0.5Fe0.5Fe2O4,12.000,12.000,12.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,4.111,2.123,3.714,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,4.263,5.994,3.045,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,4.263,5.994,3.045,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,4.263,5.994,3.045,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,4.263,5.994,3.045,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,4.263,5.994,3.045,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,3.912,5.707,2.773,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,3.912,5.707,2.773,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,3.912,5.707,2.773,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,3.912,5.707,2.773,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,3.912,5.707,2.773,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,3.989,5.994,3.045,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,3.989,5.994,3.045,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,3.989,5.994,3.045,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,3.989,5.994,3.045,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,3.892,5.707,2.797,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,3.892,5.707,2.797,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,3.892,5.707,2.797,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,3.892,5.707,2.797,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,3.892,5.707,2.797,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,4.263,5.994,3.045,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,4.163,2.473,3.786,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,4.163,2.473,3.786,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,4.163,2.473,3.786,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,4.163,2.473,3.786,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,4.163,2.473,3.786,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.201,0.693,0.693,1.438,0.693,10.595,12.315,12.206,12.591,0.000,14.798,6.313,0.693,0.157,1.323,5.429,0.288,4.163,2.473,3.786,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.241,0.693,0.693,1.438,0.693,10.527,12.315,12.206,12.591,0.000,14.798,6.282,0.693,0.157,1.323,5.429,0.288,4.043,2.485,3.714,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,22.000,22.000,22.000
0.241,0.693,0.693,1.438,0.693,10.527,12.315,12.206,12.591,0.000,14.798,6.282,0.693,0.157,1.323,5.429,0.288,4.127,1.792,3.761,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,22.000,22.000,22.000
0.241,0.693,0.693,1.438,0.693,10.527,12.315,12.206,12.591,0.000,14.798,6.282,0.693,0.157,1.323,5.429,0.288,4.263,2.197,3.714,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,22.000,22.000,22.000
0.241,0.693,0.693,1.438,0.693,10.527,12.315,12.206,12.591,0.000,14.798,6.282,0.693,0.157,1.323,5.429,0.288,3.989,5.994,3.045,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,22.000,22.000,22.000
0.241,0.693,0.693,1.438,0.693,10.527,12.315,12.206,12.591,0.000,14.798,6.282,0.693,0.157,1.323,5.429,0.288,4.111,2.197,3.714,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,22.000,22.000,22.000
0.241,0.693,0.693,1.438,0.693,10.527,12.315,12.206,12.591,0.000,14.798,6.282,0.693,0.157,1.323,5.429,0.288,4.163,2.473,3.786,2.313,0.015,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co0.7Fe0.3Fe2O4,22.000,22.000,22.000
0.223,0.693,0.000,0.000,0.693,12.543,2.451,12.206,12.543,0.000,14.524,6.256,0.693,0.157,1.324,4.956,0.288,4.408,0.000,0.000,0.145,0.001,https://doi.org/10.1021/acsomega.0c03332,Co1Fe2O4,12.000,12.000,12.000
0.223,0.693,0.000,0.000,0.693,12.543,2.451,12.206,12.543,0.000,14.524,6.256,0.693,0.157,1.324,4.956,0.288,4.408,0.000,0.000,0.145,0.001,https://doi.org/10.1021/acsomega.0c03332,Co1Fe2O4,12.000,12.000,12.000
0.223,0.693,0.000,0.000,0.693,12.543,2.451,12.206,12.543,0.000,14.524,6.256,0.693,0.157,1.324,4.956,0.288,4.408,0.000,0.000,0.145,0.001,https://doi.org/10.1021/acsomega.0c03332,Co1Fe2O4,12.000,12.000,12.000
0.223,0.693,0.000,0.000,0.693,12.543,2.451,12.206,12.543,0.000,14.524,6.256,0.693,0.157,1.324,4.956,0.288,4.408,0.000,0.000,0.145,0.001,https://doi.org/10.1021/acsomega.0c03332,Co1Fe2O4,12.000,12.000,12.000
0.223,0.693,0.000,0.000,0.693,12.543,2.451,12.206,12.543,0.000,14.524,6.256,0.693,0.157,1.324,4.956,0.288,4.408,0.000,0.000,0.145,0.001,https://doi.org/10.1021/acsomega.0c03332,Co1Fe2O4,12.000,12.000,12.000
0.223,0.693,0.693,1.961,0.693,12.543,2.451,12.206,12.543,0.000,14.524,6.256,0.693,0.157,1.324,4.956,0.288,4.355,0.000,0.000,0.145,0.001,https://doi.org/10.1021/acsomega.0c03332,Co1Fe2O4,12.000,12.000,12.000
0.223,0.693,0.693,1.961,0.693,12.543,2.451,12.206,12.543,0.000,14.524,6.256,0.693,0.157,1.324,4.956,0.288,4.355,0.000,0.000,0.145,0.001,https://doi.org/10.1021/acsomega.0c03332,Co1Fe2O4,12.000,12.000,12.000
0.223,0.693,0.693,1.961,0.693,12.543,2.451,12.206,12.543,0.000,14.524,6.256,0.693,0.157,1.324,4.956,0.288,4.355,0.000,0.000,0.145,0.001,https://doi.org/10.1021/acsomega.0c03332,Co1Fe2O4,12.000,12.000,12.000
0.223,0.693,0.693,1.961,0.693,12.543,2.451,12.206,12.543,0.000,14.524,6.256,0.693,0.157,1.324,4.956,0.288,4.355,0.000,0.000,0.145,0.001,https://doi.org/10.1021/acsomega.0c03332,Co1Fe2O4,12.000,12.000,12.000
0.223,0.693,0.693,1.961,0.693,12.543,2.451,12.206,12.543,0.000,14.524,6.256,0.693,0.157,1.324,4.956,0.288,4.355,0.000,0.000,0.145,0.001,https://doi.org/10.1021/acsomega.0c03332,Co1Fe2O4,12.000,12.000,12.000
0.241,0.693,0.000,0.000,0.693,9.680,2.451,9.547,12.543,0.000,14.524,6.256,0.693,0.157,1.324,5.429,0.288,3.916,4.179,2.152,0.145,0.001,https://doi.org/10.1016/j.ceramint.2022.06.104,Co1Fe2O4,11.000,11.000,11.000
0.241,0.693,0.000,0.000,0.693,9.680,2.451,9.547,12.543,0.000,14.524,6.256,0.693,0.157,1.324,5.429,0.288,3.916,4.179,2.152,0.145,0.001,https://doi.org/10.1016/j.ceramint.2022.06.104,Co1Fe2O4,11.000,11.000,11.000
0.241,0.693,0.000,0.000,0.693,9.680,2.451,9.547,12.543,0.000,14.524,6.256,0.693,0.157,1.324,5.429,0.288,3.916,4.179,2.152,0.145,0.001,https://doi.org/10.1016/j.ceramint.2022.06.104,Co1Fe2O4,11.000,11.000,11.000
0.329,0.693,0.000,0.000,0.693,9.680,2.451,9.547,12.543,0.000,14.524,6.256,0.693,0.157,1.324,5.429,0.288,4.135,4.036,2.327,0.145,0.001,https://doi.org/10.1016/j.ceramint.2022.06.104,Co1Fe2O4,7.700,7.700,7.700
0.329,0.693,0.000,0.000,0.693,9.680,2.451,9.547,12.543,0.000,14.524,6.256,0.693,0.157,1.324,5.429,0.288,4.135,4.036,2.327,0.145,0.001,https://doi.org/10.1016/j.ceramint.2022.06.104,Co1Fe2O4,7.700,7.700,7.700
0.329,0.693,0.000,0.000,0.693,9.680,2.451,9.547,12.543,0.000,14.524,6.256,0.693,0.157,1.324,5.429,0.288,4.135,4.036,2.327,0.145,0.001,https://doi.org/10.1016/j.ceramint.2022.06.104,Co1Fe2O4,7.700,7.700,7.700
0.224,0.693,2.303,-0.046,0.693,12.206,2.451,7.091,12.543,0.000,14.524,6.256,0.693,0.157,1.324,5.429,0.288,4.032,3.045,1.974,0.145,0.001,https://doi.org/10.1016/j.jmmm.2022.169282,Co1Fe2O4,11.960,11.960,11.960
0.224,0.693,2.303,-0.046,0.693,12.206,2.451,7.091,12.543,0.000,14.524,6.256,0.693,0.157,1.324,5.429,0.288,4.032,3.045,1.974,0.145,0.001,https://doi.org/10.1016/j.jmmm.2022.169282,Co1Fe2O4,11.960,11.960,11.960
0.224,0.693,2.303,-0.046,0.693,12.206,2.451,7.091,12.543,0.000,14.524,6.256,0.693,0.157,1.324,5.429,0.288,4.032,3.045,1.974,0.145,0.001,https://doi.org/10.1016/j.jmmm.2022.169282,Co1Fe2O4,11.960,11.960,11.960
0.224,0.693,2.303,-0.046,0.693,12.206,2.451,7.091,12.543,0.000,14.524,6.256,0.693,0.157,1.324,5.429,0.288,4.032,3.045,1.974,0.145,0.001,https://doi.org/10.1016/j.jmmm.2022.169282,Co1Fe2O4,11.960,11.960,11.960
0.224,0.693,2.303,-0.046,0.693,12.206,2.451,7.091,12.543,0.000,14.524,6.256,0.693,0.157,1.324,5.429,0.288,4.032,3.045,1.974,0.145,0.001,https://doi.org/10.1016/j.jmmm.2022.169282,Co1Fe2O4,11.960,11.960,11.960
0.262,0.693,2.197,,0.693,12.598,2.451,12.206,12.543,0.000,14.524,6.256,0.693,0.157,1.324,5.429,0.288,4.344,0.588,3.784,0.145,0.001,https://doi.org/10.1021/acsami.8b22600,Co1Fe2O4,10.000,10.000,10.000
0.262,0.693,2.197,,0.693,12.598,2.451,12.206,12.543,0.000,14.524,6.256,0.693,0.157,1.324,5.429,0.288,4.344,0.588,3.784,0.145,0.001,https://doi.org/10.1021/acsami.8b22600,Co1Fe2O4,10.000,10.000,10.000
0.262,0.693,2.197,,0.693,12.598,2.451,12.206,12.543,0.000,14.524,6.256,0.693,0.157,1.324,5.429,0.288,4.344,0.588,3.784,0.145,0.001,https://doi.org/10.1021/acsami.8b22600,Co1Fe2O4,10.000,10.000,10.000
0.262,0.693,2.197,,0.693,12.598,2.451,12.206,12.543,0.000,14.524,6.256,0.693,0.157,1.324,5.429,0.288,4.344,0.588,3.784,0.145,0.001,https://doi.org/10.1021/acsami.8b22600,Co1Fe2O4,10.000,10.000,10.000
0.262,0.693,2.197,,0.693,12.598,2.451,12.206,12.543,0.000,14.524,6.256,0.693,0.157,1.324,5.429,0.288,4.344,0.588,3.784,0.145,0.001,https://doi.org/10.1021/acsami.8b22600,Co1Fe2O4,10.000,10.000,10.000
0.262,0.693,2.197,,0.693,12.598,2.451,12.206,12.543,0.000,14.524,6.256,0.693,0.157,1.324,5.429,0.288,4.344,0.588,3.784,0.145,0.001,https://doi.org/10.1021/acsami.8b22600,Co1Fe2O4,10.000,10.000,10.000
0.560,0.693,0.000,0.000,0.693,9.680,2.451,12.206,12.543,0.000,13.998,6.256,0.693,0.157,1.324,5.429,0.288,3.892,4.827,0.542,0.145,0.001,https://doi.org/10.1007/s10856-015-5466-7,Co1Fe2O4,4.000,4.000,4.000
0.560,0.693,0.000,0.000,0.693,9.680,2.451,12.206,12.543,0.000,13.998,6.256,0.693,0.157,1.324,5.429,0.288,3.892,4.827,0.542,0.145,0.001,https://doi.org/10.1007/s10856-015-5466-7,Co1Fe2O4,4.000,4.000,4.000
0.560,0.693,0.000,0.000,0.693,9.680,2.451,12.206,12.543,0.000,13.998,6.256,0.693,0.157,1.324,5.429,0.288,3.892,4.827,0.542,0.145,0.001,https://doi.org/10.1007/s10856-015-5466-7,Co1Fe2O4,4.000,4.000,4.000
0.329,0.693,0.000,0.000,0.693,9.680,2.451,9.547,12.543,0.693,14.524,6.672,0.693,0.157,1.324,5.429,0.288,4.533,0.000,0.000,0.145,0.001,https://doi.org/10.1039/c6nr01303a,Co1Fe2O4,7.700,7.700,7.700
0.336,0.693,0.693,1.438,0.693,10.908,2.451,9.547,12.543,0.693,14.524,6.690,0.693,0.157,1.324,5.429,0.288,3.890,2.398,3.714,0.145,0.001,http://dx.doi.org/10.1021/acs.chemmater.5b04780,Co1Fe2O4,15.000,15.000,15.000
