Area/volume,Max/min(size),org_coating_HAcceptors,org_coating_LogP,common_spin,Effective anisotropy constant (J/m3),magnetic anisotropy constant (J/m3),magnetocrystalline anisotropy constant (J/m3),Anisotropy constant ,Crystalline,MAE,Curie temperature (K),Spehricity,exchange constant (J/m) *10^-12,Electronegativity core,Space group,Demagnetization factors (Nd),Saturation magnetization (emu/g),Coercivity (Oe),Remanence magnetization (emu/g),interdomain coupling (alpha),mass_magnetic_susceptibility(emu/Oe*g),id,Core_composition_formula,length,width,depth
0.300,1.000,1.000,3.212,1.000,320400.000,223000.000,5280000.000,275000.000,1.000,2670000.000,534.000,1.000,0.170,2.754,227.000,0.333,60.000,2.545,30.000,9.100,0.015,<built-in function id>,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.300,1.000,1.000,3.212,1.000,320400.000,223000.000,5280000.000,275000.000,1.000,2670000.000,534.000,1.000,0.170,2.754,227.000,0.333,60.000,2.545,30.000,9.100,0.015,<built-in function id>,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.300,1.000,1.000,3.212,1.000,320400.000,223000.000,5280000.000,275000.000,1.000,2670000.000,534.000,1.000,0.170,2.754,227.000,0.333,60.000,2.545,30.000,9.100,0.015,<built-in function id>,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.300,1.000,1.000,3.212,1.000,320400.000,111528.650,5280000.000,275000.000,1.000,1717500.000,534.000,1.000,0.158,2.754,227.000,0.333,60.000,2.545,30.000,6.864,0.004,<built-in function id>,Co0.5Fe0.5Fe2O4,20.000,20.000,20.000
0.250,1.000,0.000,0.000,1.000,200000.000,177250.000,1700000.000,275000.000,0.000,2190000.000,534.000,1.000,0.170,2.754,227.000,0.333,77.000,15.701,67.000,9.100,0.004,<built-in function id>,Co0.5Fe0.5Fe2O4,12.000,12.000,12.000
0.250,1.000,0.000,0.000,1.000,200000.000,177250.000,1700000.000,25000.000,0.000,772500.000,595.250,1.000,0.533,2.754,227.000,0.333,77.000,15.701,67.000,9.100,0.004,<built-in function id>,Co0.5Fe0.5Fe2O4,12.000,12.000,12.000
0.250,1.000,0.000,0.000,1.000,200000.000,177250.000,1700000.000,25000.000,0.000,772500.000,595.250,1.000,0.533,2.754,227.000,0.333,77.000,15.701,67.000,9.100,0.004,<built-in function id>,Co0.5Fe0.5Fe2O4,12.000,12.000,12.000
0.222,1.000,1.000,3.212,1.000,290300.000,223000.000,4385000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,60.000,7.360,40.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,38225.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,70.000,400.000,20.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,38225.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,70.000,400.000,20.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,38225.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,70.000,400.000,20.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,38225.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,70.000,400.000,20.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,38225.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,70.000,400.000,20.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,29600.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,49.000,300.000,15.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,29600.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,49.000,300.000,15.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,29600.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,49.000,300.000,15.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,29600.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,49.000,300.000,15.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,29600.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,49.000,300.000,15.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,35475.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,53.000,400.000,20.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,35475.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,53.000,400.000,20.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,35475.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,53.000,400.000,20.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,35475.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,53.000,400.000,20.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,29600.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,48.000,300.000,15.400,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,29600.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,48.000,300.000,15.400,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,29600.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,48.000,300.000,15.400,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,29600.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,48.000,300.000,15.400,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,29600.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,48.000,300.000,15.400,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,38225.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,70.000,400.000,20.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,290300.000,192500.000,4385000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,63.250,10.860,43.067,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,290300.000,192500.000,4385000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,63.250,10.860,43.067,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,290300.000,192500.000,4385000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,63.250,10.860,43.067,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,290300.000,192500.000,4385000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,63.250,10.860,43.067,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,290300.000,192500.000,4385000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,63.250,10.860,43.067,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.222,1.000,1.000,3.212,1.000,290300.000,192500.000,4385000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.150,2.755,227.000,0.333,63.250,10.860,43.067,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,27.000,27.000,27.000
0.273,1.000,1.000,3.212,1.000,290300.000,223000.000,4385000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.098,2.755,227.000,0.333,56.000,11.000,40.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,22.000,22.000,22.000
0.273,1.000,1.000,3.212,1.000,290300.000,223000.000,4385000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.098,2.755,227.000,0.333,61.000,5.000,42.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,22.000,22.000,22.000
0.273,1.000,1.000,3.212,1.000,290300.000,223000.000,4385000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.098,2.755,227.000,0.333,70.000,8.000,40.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,22.000,22.000,22.000
0.273,1.000,1.000,3.212,1.000,29975.000,223000.000,5280000.000,294000.000,0.000,2670000.000,534.000,1.000,-2.080,2.755,227.000,0.333,53.000,400.000,20.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,22.000,22.000,22.000
0.273,1.000,1.000,3.212,1.000,290300.000,223000.000,4385000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.098,2.755,227.000,0.333,60.000,8.000,40.000,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,22.000,22.000,22.000
0.273,1.000,1.000,3.212,1.000,290300.000,223000.000,4385000.000,294000.000,0.000,2670000.000,534.000,1.000,-5.098,2.755,227.000,0.333,63.250,10.860,43.067,9.100,0.015,<built-in function id>,Co0.7Fe0.3Fe2O4,22.000,22.000,22.000
0.250,1.000,0.000,0.000,1.000,280000.000,10.600,200000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,141.000,0.333,81.110,0.000,0.000,0.156,0.001,<built-in function id>,Co1Fe2O4,12.000,12.000,12.000
0.250,1.000,0.000,0.000,1.000,280000.000,10.600,200000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,141.000,0.333,81.110,0.000,0.000,0.156,0.001,<built-in function id>,Co1Fe2O4,12.000,12.000,12.000
0.250,1.000,0.000,0.000,1.000,280000.000,10.600,200000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,141.000,0.333,81.110,0.000,0.000,0.156,0.001,<built-in function id>,Co1Fe2O4,12.000,12.000,12.000
0.250,1.000,0.000,0.000,1.000,280000.000,10.600,200000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,141.000,0.333,81.110,0.000,0.000,0.156,0.001,<built-in function id>,Co1Fe2O4,12.000,12.000,12.000
0.250,1.000,0.000,0.000,1.000,280000.000,10.600,200000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,141.000,0.333,81.110,0.000,0.000,0.156,0.001,<built-in function id>,Co1Fe2O4,12.000,12.000,12.000
0.250,1.000,1.000,6.109,1.000,280000.000,10.600,200000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,141.000,0.333,76.900,0.000,0.000,0.156,0.001,<built-in function id>,Co1Fe2O4,12.000,12.000,12.000
0.250,1.000,1.000,6.109,1.000,280000.000,10.600,200000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,141.000,0.333,76.900,0.000,0.000,0.156,0.001,<built-in function id>,Co1Fe2O4,12.000,12.000,12.000
0.250,1.000,1.000,6.109,1.000,280000.000,10.600,200000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,141.000,0.333,76.900,0.000,0.000,0.156,0.001,<built-in function id>,Co1Fe2O4,12.000,12.000,12.000
0.250,1.000,1.000,6.109,1.000,280000.000,10.600,200000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,141.000,0.333,76.900,0.000,0.000,0.156,0.001,<built-in function id>,Co1Fe2O4,12.000,12.000,12.000
0.250,1.000,1.000,6.109,1.000,280000.000,10.600,200000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,141.000,0.333,76.900,0.000,0.000,0.156,0.001,<built-in function id>,Co1Fe2O4,12.000,12.000,12.000
0.273,1.000,0.000,0.000,1.000,16000.000,10.600,14000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,227.000,0.333,49.180,64.300,7.600,0.156,0.001,<built-in function id>,Co1Fe2O4,11.000,11.000,11.000
0.273,1.000,0.000,0.000,1.000,16000.000,10.600,14000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,227.000,0.333,49.180,64.300,7.600,0.156,0.001,<built-in function id>,Co1Fe2O4,11.000,11.000,11.000
0.273,1.000,0.000,0.000,1.000,16000.000,10.600,14000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,227.000,0.333,49.180,64.300,7.600,0.156,0.001,<built-in function id>,Co1Fe2O4,11.000,11.000,11.000
0.390,1.000,0.000,0.000,1.000,16000.000,10.600,14000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,227.000,0.333,61.510,55.600,9.250,0.156,0.001,<built-in function id>,Co1Fe2O4,7.700,7.700,7.700
0.390,1.000,0.000,0.000,1.000,16000.000,10.600,14000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,227.000,0.333,61.510,55.600,9.250,0.156,0.001,<built-in function id>,Co1Fe2O4,7.700,7.700,7.700
0.390,1.000,0.000,0.000,1.000,16000.000,10.600,14000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,227.000,0.333,61.510,55.600,9.250,0.156,0.001,<built-in function id>,Co1Fe2O4,7.700,7.700,7.700
0.251,1.000,9.000,-0.045,1.000,200000.000,10.600,1200.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,227.000,0.333,55.400,20.000,6.200,0.156,0.001,<built-in function id>,Co1Fe2O4,11.960,11.960,11.960
0.251,1.000,9.000,-0.045,1.000,200000.000,10.600,1200.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,227.000,0.333,55.400,20.000,6.200,0.156,0.001,<built-in function id>,Co1Fe2O4,11.960,11.960,11.960
0.251,1.000,9.000,-0.045,1.000,200000.000,10.600,1200.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,227.000,0.333,55.400,20.000,6.200,0.156,0.001,<built-in function id>,Co1Fe2O4,11.960,11.960,11.960
0.251,1.000,9.000,-0.045,1.000,200000.000,10.600,1200.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,227.000,0.333,55.400,20.000,6.200,0.156,0.001,<built-in function id>,Co1Fe2O4,11.960,11.960,11.960
0.251,1.000,9.000,-0.045,1.000,200000.000,10.600,1200.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,227.000,0.333,55.400,20.000,6.200,0.156,0.001,<built-in function id>,Co1Fe2O4,11.960,11.960,11.960
0.300,1.000,8.000,-2.850,1.000,296000.000,10.600,200000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,227.000,0.333,76.000,0.800,43.000,0.156,0.001,<built-in function id>,Co1Fe2O4,10.000,10.000,10.000
0.300,1.000,8.000,-2.850,1.000,296000.000,10.600,200000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,227.000,0.333,76.000,0.800,43.000,0.156,0.001,<built-in function id>,Co1Fe2O4,10.000,10.000,10.000
0.300,1.000,8.000,-2.850,1.000,296000.000,10.600,200000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,227.000,0.333,76.000,0.800,43.000,0.156,0.001,<built-in function id>,Co1Fe2O4,10.000,10.000,10.000
0.300,1.000,8.000,-2.850,1.000,296000.000,10.600,200000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,227.000,0.333,76.000,0.800,43.000,0.156,0.001,<built-in function id>,Co1Fe2O4,10.000,10.000,10.000
0.300,1.000,8.000,-2.850,1.000,296000.000,10.600,200000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,227.000,0.333,76.000,0.800,43.000,0.156,0.001,<built-in function id>,Co1Fe2O4,10.000,10.000,10.000
0.300,1.000,8.000,-2.850,1.000,296000.000,10.600,200000.000,280000.000,0.000,2030000.000,520.000,1.000,0.170,2.757,227.000,0.333,76.000,0.800,43.000,0.156,0.001,<built-in function id>,Co1Fe2O4,10.000,10.000,10.000
0.750,1.000,0.000,0.000,1.000,16000.000,10.600,200000.000,280000.000,0.000,1200000.000,520.000,1.000,0.170,2.757,227.000,0.333,48.010,123.800,0.720,0.156,0.001,<built-in function id>,Co1Fe2O4,4.000,4.000,4.000
0.750,1.000,0.000,0.000,1.000,16000.000,10.600,200000.000,280000.000,0.000,1200000.000,520.000,1.000,0.170,2.757,227.000,0.333,48.010,123.800,0.720,0.156,0.001,<built-in function id>,Co1Fe2O4,4.000,4.000,4.000
0.750,1.000,0.000,0.000,1.000,16000.000,10.600,200000.000,280000.000,0.000,1200000.000,520.000,1.000,0.170,2.757,227.000,0.333,48.010,123.800,0.720,0.156,0.001,<built-in function id>,Co1Fe2O4,4.000,4.000,4.000
0.390,1.000,0.000,0.000,1.000,16000.000,10.600,14000.000,280000.000,1.000,2030000.000,789.000,1.000,0.170,2.757,227.000,0.333,92.000,0.000,0.000,0.156,0.001,<built-in function id>,Co1Fe2O4,7.700,7.700,7.700
0.400,1.000,1.000,3.212,1.000,52750.000,33.950,14000.000,280000.000,1.000,2030000.000,803.000,1.000,0.170,2.757,227.000,0.333,47.900,10.000,40.000,0.156,0.001,<built-in function id>,Co1Fe2O4,15.000,15.000,15.000
0.652,1.000,0.000,0.000,1.000,92000.000,10.600,1200.000,200000.000,0.000,2030000.000,793.000,1.000,0.170,2.757,227.000,0.333,32.000,3.564,19.253,0.156,0.001,<built-in function id>,Co1Fe2O4,9.200,9.200,9.200
0.652,1.000,0.000,0.000,1.000,92000.000,10.600,1200.000,200000.000,0.000,2030000.000,793.000,1.000,0.170,2.757,227.000,0.333,32.000,3.564,19.253,0.156,0.001,<built-in function id>,Co1Fe2O4,9.200,9.200,9.200
1.463,1.000,0.000,0.000,2.333,60000.000,10.600,210000.000,11000.000,0.000,1200000.000,795.000,0.995,0.170,2.757,227.000,0.333,71.700,1450.000,32.800,0.156,0.001,<built-in function id>,CoFe2O4,4.100,4.100,4.100
0.435,1.000,0.000,0.000,2.333,60000.000,10.600,210000.000,11000.000,0.000,2030000.000,795.000,1.000,0.170,2.757,227.000,0.333,71.700,1450.000,32.800,0.156,0.001,<built-in function id>,CoFe2O4,13.800,13.800,13.800
1.463,1.000,0.000,0.000,2.333,60000.000,10.600,210000.000,11000.000,0.000,1200000.000,795.000,0.995,0.170,2.757,227.000,0.333,71.700,1450.000,32.800,0.156,0.001,<built-in function id>,CoFe2O4,4.100,4.100,4.100
0.435,1.000,0.000,0.000,2.333,60000.000,10.600,210000.000,11000.000,0.000,2030000.000,795.000,1.000,0.170,2.757,227.000,0.333,23.100,631.500,8.400,0.156,0.001,<built-in function id>,CoFe2O4,13.800,13.800,13.800
0.245,1.000,0.000,0.000,2.333,60000.000,10.600,210000.000,11000.000,0.000,2030000.000,795.000,1.000,0.170,2.757,227.000,0.333,127.600,748.720,38.800,0.156,0.001,<built-in function id>,CoFe2O4,24.500,24.500,24.500
0.187,1.000,0.000,0.000,2.333,60000.000,10.600,210000.000,11000.000,0.000,1615000.000,795.000,1.000,0.170,2.757,227.000,0.333,45.700,1567.150,21.200,0.156,0.001,<built-in function id>,CoFe2O4,32.100,32.100,32.100
